[APW19980903_1073.htm]
***************** Gold Standard: ***********************
 => Association of Art Museum Directors:[1030,35]; score:1.000000
 => Austria:[76,7]; score:1.000000
	FN => Wolfgang Schuessel:[701,18]; score:1.000000
 => Moscow:[401,6]; score:1.000000
 => Viktor Klima:[664,12]; score:1.000000
 => Madeleine Albright:[126,18]; score:1.000000
 => World Jewish Congress:[898,21]; score:1.000000
 => Nazis:[276,5]; score:1.000000
 => Germany:[1302,7]; score:1.000000
 => Holocaust:[248,9]; score:1.000000
 => United States:[607,13]; score:1.000000
	FN => stolen art:[60,10]; score:1.000000
 => Thomas Klestil:[323,14]; score:1.000000
	FN => Secretary of State:[104,18]; score:1.000000
 => Adolf Hitler:[1284,12]; score:1.000000

************************ System Result: ***************************
	FP => art:[837,3]; score:0.331928
 => Austria:[76,7]; score:0.877026
	FP => Europe:[882,6]; score:0.845703
 => Madeleine Albright:[126,18]; score:0.944492
	FP => Austria:[726,7]; score:0.877026
 => Nazis:[276,5]; score:0.665295
	FP => billion:[983,7]; score:0.223422
	FP => art museums:[1115,11]; score:0.183948
	FP => Austrian president:[3,18]; score:0.487587
	FP => Vienna:[383,6]; score:0.847480
	FP => art:[221,3]; score:0.331928
	FP => art:[478,3]; score:0.331928
	FP => Albright:[584,8]; score:0.944492
	FP => Austria:[1257,7]; score:0.877026
	FP => Chancellor:[652,10]; score:0.411526
 => Association of Art Museum Directors:[1030,35]; score:0.654943
	FP => billion:[1004,7]; score:0.223422
	FP => United States:[1075,13]; score:0.648083
	FP => American art:[1106,12]; score:0.213692
	FP => database:[1231,8]; score:0.227587
 => Moscow:[401,6]; score:0.733977
	FP => Federal:[501,7]; score:0.098681
	FP => World War II:[1371,12]; score:0.881954
	FP => President:[312,9]; score:0.429228
	FP => Albright:[345,8]; score:0.944492
	FP => summit:[410,6]; score:0.047978
	FP => government:[168,10]; score:0.220336
	FP => commission:[427,10]; score:0.200400
	FP => Holocaust victims:[853,17]; score:0.228817
	FP => stolen art:[953,10]; score:0.346822
	FP => president:[88,9]; score:0.149466
 => Germany:[1302,7]; score:0.617274
 => United States:[607,13]; score:0.648083
	FP => stolen art:[60,10]; score:0.346822
 => Thomas Klestil:[323,14]; score:0.943686
	FP => United States:[739,13]; score:0.648083
 => Adolf Hitler:[1284,12]; score:0.967326
	FP => commission:[198,10]; score:0.200400
	FP => launched:[779,8]; score:0.160795
	FP => nation:[1354,6]; score:0.202942
	FP => art:[555,3]; score:0.331928
 => Viktor Klima:[664,12]; score:0.943686
	FP => dollars:[820,7]; score:0.168128
 => World Jewish Congress:[898,21]; score:0.905274
 => Holocaust:[248,9]; score:0.637623
	FP => war:[1204,3]; score:0.881954
	FP => independent:[1342,11]; score:0.047978
	FP => Albright:[28,8]; score:0.944492
	FP => Secretary of State:[104,18]; score:0.536046
	FP => Austrian:[288,8]; score:0.212313
	FP => Foreign Minister:[683,16]; score:0.527057
	FP => 1938:[1314,4]; score:0.218589
P/R/F:0.23076923/0.8/0.35820895; tpCount:12.0; fpCount:40.0; fnCount:3.0
[APW19980604_0787.htm]
***************** Gold Standard: ***********************
	FN => banks:[405,5]; score:1.000000
 => corporate ethics:[129,16]; score:1.000000
 => newspapers:[844,10]; score:1.000000
 => Thai people:[766,11]; score:1.000000
 => TV stations:[862,11]; score:1.000000
 => justice system:[610,14]; score:1.000000
	FN => Viravaidya:[14,10]; score:1.000000
	FN => SET:[75,3]; score:1.000000
	FN => lifestyle:[354,9]; score:1.000000
 => finance:[418,7]; score:1.000000
	FN => executives:[377,10]; score:1.000000
 => Bank of Thailand:[543,16]; score:1.000000

************************ System Result: ***************************
	FP => justice:[648,7]; score:0.360386
	FP => media:[1288,5]; score:0.593336
	FP => media:[330,5]; score:0.593336
	FP => executives:[943,10]; score:0.311001
	FP => watchdog:[46,8]; score:0.047978
	FP => SET:[75,3]; score:0.088028
	FP => Thailand:[1265,8]; score:0.786993
	FP => citizen:[1107,7]; score:0.390897
	FP => Telephone:[1239,9]; score:0.347361
	FP => lifestyle:[919,9]; score:0.236276
	FP => executives:[377,10]; score:0.311001
	FP => Bt:[1010,2]; score:0.258036
 => corporate ethics:[129,16]; score:0.670510
 => TV stations:[862,11]; score:0.149167
	FP => media:[667,5]; score:0.593336
	FP => evidence:[576,8]; score:0.160795
	FP => lifestyle:[354,9]; score:0.236276
